
xxxx, val,           x,           x
xxxx, val,           x,           x
0000, val,          12,          12
0001, val,           8,           8
0001, val,          -8,          -8
0100, val,           0,           0
0100, val,           0,           0
0100, val,           1,           1
0100, val,           0,           0
0010, val,           1,           1
0010, val,           1,           1
0010, val,           1,           1
0010, val,           0,           0
0011, val,           1,           1
0011, val,           1,           1
0011, val,           0,           0
0011, val,           0,           0
0101, val,          16,          16
0110, val,  2147483647,  2147483647
0111, val,          -1,          -1
1000, val,           1,           1
1000, val,           0,           0
1000, val,           1,           1
1001, val,           0,           0
1001, val,           1,           1
